focal,other,dyad,win,dist_focal,dist_other,n_focal,n_other,m_focal,m_other,f_focal,f_other,ndam,eval,gender,language,age,female,category,hours,name,majority_first
6,2,4,1,403,467,5,5,3,3,3,3,70.0,4.8,female,Turkish,26.0,0.0,3,0.389,Agnes,1
4,4,3,0,591,234,6,5,2,3,9,3,410.0,4.3,male,English,35.0,0.0,3,0.046,Helene,1
1,5,4,1,516,193,6,10,3,3,7,9,800.0,3.7,female,English,38.0,0.0,3,0.434,Diane,0
6,4,3,0,186,209,10,5,3,2,7,7,160.0,4.2,female,English,13.0,0.0,2,0.033,Bob,0
4,5,7,0,469,191,10,13,3,4,7,7,2700.0,4.0,female,Romanian,31.0,0.0,3,0.145,Humberto,0
2,6,8,1,299,457,13,5,2,2,7,4,2130.0,4.0,female,Dutch,28.0,0.0,4,3.04,Carmen,0
1,2,6,1,500,417,5,6,3,2,3,3,6870.0,3.9,male,English,44.0,0.0,1,0.277,Claudette,0
1,1,5,1,616,189,10,10,2,2,3,4,15.0,4.5,female,Swedish,16.0,0.0,3,19.554,Diana,0
2,2,4,0,259,300,5,10,4,2,9,7,290.0,4.0,male,Dutch,,1.0,1,16.734,Gladys,0
1,1,4,0,262,617,13,5,3,2,3,7,99.0,4.0,female,,58.0,0.0,3,3.245,Ginger,0
2,2,4,1,441,539,5,10,4,3,9,4,58.0,4.5,female,English,13.0,1.0,3,8.369,Juan,1
