rownames,affairs,gender,age,yearsmarried,children,religiousness,education,occupation,rating,ndam,eval,club,language,female,category,m_other,name,pop
116,0,female,20.0,10.0,yes,2,14,1,5,300.0,3.4,Levante UD,English,0.0,1,3,Cindy,Australian aboriginie
123,0,female,35.0,1.5,no,2,16,5,5,6450.0,3.4,Everton FC,German,0.0,2,2,Cleo,Alaska
127,0,female,28.0,1.5,no,2,16,5,5,16260.0,3.3,Fortuna Düsseldorf,English,0.0,2,4,Dora,Alaska
129,0,female,,10.0,yes,4,16,5,4,2770.0,4.3,Real Valladolid,,0.0,3,2,Hilda,East Africa
134,0,female,,10.0,yes,3,14,1,5,800.0,4.4,Real Sociedad,,0.0,2,3,Isbell,Ebolwa
137,0,male,22.0,4.0,yes,2,20,6,4,20000.0,4.6,Sevilla FC,English,0.0,3,3,Betsy,West Africa
139,0,female,16.0,1.5,no,2,18,5,5,730.0,4.2,Chelsea FC,English,0.0,2,2,Alma,Borneo
147,0,female,35.0,7.0,no,4,16,1,5,99.0,4.0,Bayer Leverkusen,Spanish,0.0,1,4,Inez,South Africa
151,0,male,,15.0,yes,5,20,6,4,5060.0,3.3,Stoke City,,0.0,3,3,Beulah,Fuegian
153,0,male,16.0,4.0,yes,3,16,5,5,800.0,4.4,SC Freiburg,English,1.0,2,2,Gladys,French Cameroons
155,0,female,22.0,4.0,yes,3,17,5,4,23040.0,2.3,Newcastle United,English,0.0,5,3,Camille,Alaska
162,0,male,21.0,15.0,yes,4,20,6,3,6870.0,3.5,Everton FC,English,0.0,3,2,Celia,Chucki
163,0,female,35.0,1.5,no,3,16,5,5,300.0,4.7,Hamburger SV,English,0.0,2,2,Edith,Ebolwa
165,0,male,58.0,0.417,no,4,17,6,4,500.0,3.9,Bayer Leverkusen,English,0.0,1,2,Fern,East Africa
168,0,female,38.0,15.0,yes,5,14,5,4,200.0,4.0,Real Madrid,English,0.0,1,2,Ginger,Native Californian
170,0,male,21.0,4.0,yes,1,18,6,4,20430.0,4.3,West Bromwich Albion,Dutch,0.0,1,2,Agnes,French Cameroons
172,0,female,13.0,1.5,no,4,16,5,3,1180.0,3.8,Real Betis,English,1.0,3,2,Carmen,Borneo
184,0,female,43.0,15.0,yes,3,12,1,4,6190.0,3.8,ESTAC Troyes,English,0.0,3,2,Eloise,Australian aboriginie
187,0,female,26.0,4.0,no,4,17,5,5,570.0,4.0,Norwich City,English,0.0,1,2,Belle,Borneo
192,0,male,23.0,1.5,yes,1,14,3,5,66.0,4.6,Tottenham Hotspur,Chinese,0.0,1,2,Babe,Borneo
194,0,female,26.0,0.75,no,3,16,1,5,70.0,3.5,Lille OSC,Dutch,0.0,1,3,Bob,Alaska
210,0,male,27.0,10.0,yes,5,20,6,5,2700.0,4.7,FC Augsburg,Romanian,0.0,2,3,David,East Africa
217,0,male,25.0,15.0,yes,5,18,6,3,12770.0,4.2,West Bromwich Albion,Italian,1.0,3,3,Frederic,Native Californian
220,0,female,34.0,0.417,no,5,14,1,4,2130.0,3.4,1. FC Nürnberg,English,1.0,3,3,Allen,French Cameroons
224,0,female,22.0,4.0,yes,2,18,6,1,10400.0,3.9,Chelsea FC,Other,0.0,3,2,Alicia,East Africa
227,0,female,24.0,7.0,yes,5,17,5,3,410.0,4.5,Bayern München,English,0.0,2,2,Diana,Khoi-San
228,0,male,,4.0,no,3,16,5,5,130.0,4.7,SC Freiburg,,1.0,1,2,Bob,Afalou
239,0,female,18.0,7.0,yes,4,18,6,5,160.0,3.5,Sunderland AFC,English,0.0,1,3,Danny,Borneo
241,0,female,39.0,15.0,yes,2,18,5,4,4180.0,3.7,Bayer Leverkusen,English,0.0,3,3,Elena,Native Californian
245,0,male,19.0,1.5,yes,4,16,3,5,3020.0,4.0,Norwich City,Other,0.0,3,3,Gloria,Borneo
249,0,male,18.0,15.0,yes,2,20,6,4,4730.0,4.1,Málaga CF,English,1.0,1,2,Juan,Khoi-San or bushman half-caste
262,0,female,31.0,0.75,no,5,14,3,5,1310.0,4.4,Athletic Bilbao,English,0.0,2,2,Kate,Ebolwa
265,0,male,20.0,7.0,yes,2,20,6,4,6.0,4.2,FC Barcelona,,0.0,1,3,Bonnie,Native Californian
267,0,male,21.0,4.0,yes,5,20,6,5,58.0,4.5,Tottenham Hotspur,Chinese,0.0,1,2,Charley,Australian aboriginie
269,0,male,26.0,10.0,yes,4,20,6,4,1.0,3.8,Toulouse FC,English,0.0,1,3,Floyd,Borneo
271,0,male,13.0,4.0,no,1,18,5,5,4.0,3.1,Leyton Orient,English,1.0,1,3,Florence,West Africa
277,0,female,50.0,15.0,yes,4,14,3,1,290.0,3.7,Norwich City,English,0.0,1,3,Chantal,Alaska
290,0,male,18.0,1.5,yes,5,16,4,4,20020.0,3.9,Aston Villa,Swedish,0.0,4,3,Hugo,Ebolwa
292,0,female,31.0,15.0,yes,4,17,1,5,230.0,4.0,Olympique Marseille,English,0.0,1,3,Jerry,Afalou
293,0,female,21.0,0.75,no,4,17,5,4,3620.0,3.3,Lille OSC,English,0.0,2,4,Bob,Ebolwa
295,0,male,25.0,10.0,yes,4,20,6,4,66730.0,3.1,Everton FC,English,0.0,5,4,Andrew,Ebolwa
299,0,female,21.0,15.0,yes,5,14,7,2,96.0,4.0,Sunderland AFC,English,0.0,3,2,Emily,Borneo
320,0,male,22.0,10.0,yes,3,20,6,4,1650.0,4.3,Bayern München,English,0.0,2,3,Erin,Native Californian
321,0,female,22.0,0.75,no,2,16,5,5,7550.0,3.7,Norwich City,English,0.0,3,2,Opal,East Africa
324,0,male,64.0,4.0,no,2,18,4,5,700.0,3.4,Chelsea FC,English,0.0,2,2,Bertha,Alaska
334,0,male,19.0,7.0,no,4,20,6,4,8260.0,4.3,Manchester City,Other,1.0,3,2,Fran,Native Californian
351,0,male,64.0,15.0,yes,2,17,3,5,200.0,3.7,FC Sochaux,English,0.0,1,3,Danny,Native Californian
355,0,male,25.0,10.0,yes,4,20,6,4,1650.0,4.2,Newcastle United,English,0.0,2,2,Bonnie,Native Californian
361,0,female,23.0,15.0,yes,3,17,6,5,160.0,2.2,SpVgg Greuther Fürth,Romanian,0.0,1,2,Earl,East Africa
362,0,female,27.0,1.5,no,5,16,5,5,3870.0,3.0,Aston Villa,,0.0,2,2,Georges,East Africa
366,0,female,24.0,1.5,no,2,16,6,4,94.0,4.3,West Ham United,English,1.0,3,3,Bret,Borneo
370,0,female,16.0,4.0,no,3,17,5,5,8130.0,4.6,Bor. Mönchengladbach,German,0.0,2,4,Floyd,Native Californian
374,0,female,24.0,10.0,yes,5,14,4,5,1430.0,3.5,1. FSV Mainz 05,English,0.0,1,2,Irene,Chucki
378,0,female,24.0,0.125,no,2,12,5,5,1260.0,4.6,Fortuna Düsseldorf,,0.0,1,3,Lili,Native Californian
381,0,male,19.0,15.0,yes,4,14,4,3,250.0,3.7,1. FC Nürnberg,Chinese,0.0,1,2,Claudette,French Cameroons
382,0,male,25.0,15.0,yes,1,14,5,5,4980.0,3.8,Stoke City,English,0.0,2,2,Isabel,East Africa
383,0,male,41.0,7.0,yes,4,16,5,5,5.0,3.6,Aston Villa,English,0.0,1,2,Alex,East Africa
384,0,female,23.0,1.5,yes,3,16,5,5,20510.0,4.4,Stade Brest,English,0.0,4,2,Charley,Alaska
400,0,male,48.0,4.0,yes,3,17,6,5,12620.0,4.1,FC Augsburg,English,0.0,2,3,Frances,Alaska
403,0,female,22.0,1.5,no,3,16,5,5,170.0,4.3,Valencia CF,German,0.0,1,2,Gaston,Australian aboriginie
409,0,male,35.0,15.0,yes,2,14,7,2,18590.0,4.0,Borussia Dortmund,English,0.0,3,4,Ivan,East Africa
412,0,male,38.0,1.5,yes,3,18,6,5,10210.0,4.8,Bayern München,English,1.0,3,2,Jeanne,Sami
413,0,male,25.0,15.0,yes,4,20,6,5,350.0,3.5,Hannover 96,Indonesian,,1,3,Cindy,Australian aboriginie
416,0,female,33.0,0.75,no,2,16,3,4,2650.0,3.6,Fulham FC,English,1.0,3,3,Dennis,Buriat
418,0,male,49.0,4.0,no,4,17,3,3,,3.8,Athletic Bilbao,English,0.0,3,2,Katrina,East Africa
422,0,female,37.0,1.5,yes,4,12,1,5,91.0,4.7,1899 Hoffenheim,English,0.0,1,4,Ophelia,Australian aboriginie
435,0,female,34.0,0.417,no,1,17,6,4,10690.0,4.9,Stoke City,English,0.0,3,3,Rita,Afalou
439,0,female,28.0,15.0,yes,4,17,5,5,25960.0,4.3,Manchester City,English,1.0,3,2,Wilma,Sami
445,0,female,58.0,1.5,no,3,18,5,2,51.0,3.3,Lille OSC,English,0.0,1,3,Humberto,Khoi-San or bushman half-caste
447,0,female,25.0,1.5,yes,3,14,1,5,1110.0,3.4,Chelsea FC,Italian,0.0,1,2,Dolly,Borneo
448,0,female,30.0,15.0,yes,3,14,1,4,4360.0,3.6,Everton FC,English,0.0,2,2,Gustav,Australian aboriginie
449,0,female,28.0,15.0,yes,4,14,3,4,20370.0,4.0,SC Bastia,English,0.0,2,2,Ike,East Africa
478,0,male,35.0,10.0,yes,2,14,5,3,7110.0,3.9,Bayer Leverkusen,English,0.0,1,2,Irene,Ebolwa
482,0,male,21.0,10.0,yes,4,16,5,4,24000.0,4.3,FC Lorient,English,0.0,1,2,Isaac,Alaska
486,0,male,22.0,15.0,yes,5,20,5,3,75000.0,3.3,FC Schalke 04,English,0.0,2,2,Sandy,Afalou
489,0,male,20.0,0.417,no,1,16,3,4,1590.0,3.7,AS Nancy,English,0.0,3,2,Easy,East Africa
490,0,female,38.0,15.0,yes,5,14,1,5,5350.0,3.6,FC Barcelona,English,1.0,3,2,King,Native Californian
491,0,male,21.0,15.0,yes,3,16,6,1,150.0,4.4,CA Osasuna,Dutch,0.0,1,2,Able,Borneo
492,0,male,26.0,10.0,yes,1,16,6,4,58.0,4.0,West Bromwich Albion,English,0.0,1,3,Barbara,Central Africa
503,0,male,33.0,15.0,yes,3,17,5,5,15.0,2.1,1899 Hoffenheim,English,0.0,1,3,Florence,Native Californian
508,0,male,28.0,15.0,yes,4,20,6,5,19321.0,3.2,Fortuna Düsseldorf,English,0.0,3,3,Carol,Khoi-San
509,0,female,45.0,10.0,yes,5,14,1,5,3230.0,3.5,AS Saint-Étienne,English,0.0,3,3,Edna,Alaska
512,0,male,21.0,10.0,yes,2,18,6,4,24260.0,4.1,Bayern München,,0.0,4,2,Hazel,Alaska
515,0,female,21.0,0.125,no,4,12,4,5,2030.0,4.6,Arsenal FC,English,0.0,3,2,Connie,Buriat
517,0,male,23.0,15.0,yes,5,20,6,5,14730.0,3.8,Stade Reims,Finnish,0.0,1,2,Diane,Chucki
532,0,female,13.0,15.0,yes,4,18,6,4,6200.0,3.8,Málaga CF,English,0.0,3,3,Ione,Borneo
533,0,male,46.0,4.0,yes,4,14,6,4,1540.0,3.8,FC Sochaux,English,0.0,2,3,Flossy,Borneo
535,0,male,37.0,7.0,yes,4,18,5,4,,4.2,Stade Rennes,English,0.0,4,3,Audrey,Afalou
537,0,male,22.0,15.0,yes,4,20,5,4,540.0,3.9,Toulouse FC,English,0.0,3,2,Helene,Afalou
538,0,male,32.0,15.0,yes,3,14,6,3,430.0,4.5,SC Freiburg,English,1.0,1,2,Debra,Native Californian
543,0,female,39.0,1.5,no,2,14,5,4,510.0,4.5,Fulham FC,English,0.0,3,3,Gracie,Native Californian
547,0,female,35.0,7.0,yes,4,17,1,5,53270.0,4.4,Manchester City,English,0.0,4,2,Donna,Afalou
550,0,female,20.0,15.0,yes,4,17,6,5,35.0,4.4,Tottenham Hotspur (R),English,0.0,1,3,Ethel,French Cameroons
558,0,female,,1.5,no,5,18,5,5,15850.0,4.4,Valenciennes FC,,1.0,4,3,Carla,Sami
571,0,male,26.0,10.0,yes,5,20,7,4,300.0,4.5,West Bromwich Albion,English,,1,3,Cindy,Central Africa
578,0,female,23.0,7.0,no,3,16,5,4,6450.0,4.3,FC Lorient,English,0.0,2,3,Cleo,French Cameroons
583,0,male,23.0,15.0,no,4,20,6,5,16260.0,4.6,FC Barcelona,Romanian,0.0,2,3,Dora,West Africa
586,0,male,24.0,15.0,yes,4,14,3,2,2770.0,4.8,AS Saint-Étienne,English,0.0,3,4,Hilda,Ona
594,0,male,15.0,10.0,no,5,18,6,4,800.0,4.3,Borussia Dortmund,German,1.0,2,4,Isbell,Fuegian
597,0,female,29.0,0.75,no,4,16,1,5,20000.0,4.0,1899 Hoffenheim,Other,0.0,3,2,Betsy,East Africa
602,0,female,49.0,7.0,yes,4,12,2,4,730.0,4.0,1. FSV Mainz 05,English,0.0,2,3,Alma,Khoi-San or bushman half-caste
603,0,female,59.0,7.0,yes,2,16,2,5,99.0,3.9,Aston Villa,English,0.0,1,2,Inez,Khoi-San
604,0,female,35.0,15.0,yes,5,18,5,4,5060.0,3.3,Borussia Dortmund,English,0.0,3,2,Beulah,Native Californian
612,0,male,24.0,15.0,yes,4,17,5,3,800.0,4.5,VfB Stuttgart,English,1.0,2,2,Gladys,Native Californian
613,0,female,64.0,7.0,yes,2,16,1,2,23040.0,4.5,Manchester United,Other,0.0,5,3,Camille,Sami
621,0,female,13.0,1.5,no,3,16,5,5,6870.0,4.5,Paris Saint-Germain,English,0.0,3,2,Celia,Sami
627,0,male,44.0,15.0,yes,5,20,6,5,300.0,2.5,RCD Mallorca,English,1.0,2,2,Edith,Australian aboriginie
630,0,female,15.0,0.125,no,2,14,4,5,500.0,4.3,Newcastle United,English,0.0,1,2,Fern,Native Californian
631,0,male,39.0,1.5,no,4,16,5,5,200.0,4.5,Arsenal FC,English,1.0,1,3,Ginger,Australian aboriginie
632,0,male,20.0,1.5,no,2,18,6,5,20430.0,4.7,Manchester United,English,0.0,1,4,Agnes,Native Californian
639,0,male,58.0,1.5,no,2,17,6,5,1180.0,3.5,FC Augsburg,English,0.0,3,2,Carmen,Fuegian
645,0,female,18.0,10.0,yes,4,16,1,3,6190.0,4.5,VfL Wolfsburg,Turkish,0.0,3,3,Eloise,East Africa
647,0,male,22.0,15.0,yes,4,18,6,5,570.0,3.8,VfB Stuttgart,English,0.0,1,2,Belle,Afalou
648,0,female,19.0,1.5,no,2,16,6,5,66.0,4.5,AS Nancy,English,0.0,1,2,Babe,Sami
651,0,male,64.0,4.0,no,2,18,6,3,70.0,4.3,Liverpool FC,Other,1.0,1,2,Bob,Native Californian
655,0,female,43.0,10.0,yes,3,14,5,3,2700.0,3.9,Espanyol Barcelona,English,0.0,2,2,David,Alaska
667,0,female,,15.0,yes,3,18,5,4,12770.0,4.3,Werder Bremen,,0.0,3,3,Frederic,Buriat
670,0,female,21.0,0.75,no,2,18,6,5,2130.0,4.2,West Bromwich Albion,English,0.0,3,2,Allen,Sami
671,0,female,37.0,15.0,yes,2,16,1,4,10400.0,5.0,Liverpool FC (R),Standard_Hindi,0.0,3,4,Alicia,Tasmanien
673,0,male,18.0,4.0,yes,4,20,5,5,410.0,5.0,West Ham United,Dutch,0.0,2,2,Diana,Afalou
701,0,male,19.0,4.0,no,1,20,5,4,130.0,4.6,Olympique Lyon,English,0.0,1,3,Bob,Alaska
705,0,female,52.0,10.0,yes,2,12,1,4,160.0,5.0,Real Betis,English,1.0,1,3,Danny,East Africa
706,0,female,17.0,15.0,yes,5,18,6,4,4180.0,4.7,VfL Wolfsburg,English,0.0,3,2,Elena,Native Californian
709,0,male,41.0,7.0,yes,5,12,5,3,3020.0,5.0,Tottenham Hotspur,English,1.0,3,4,Gloria,Sami
717,0,male,21.0,15.0,yes,2,18,5,4,4730.0,2.7,Getafe CF,English,0.0,1,3,Juan,Khoi-San
719,0,male,,4.0,no,3,20,6,3,1310.0,4.0,FC Sochaux,,,2,2,Kate,Native Californian
723,0,male,26.0,4.0,yes,1,18,5,4,6.0,4.4,Chelsea FC,English,0.0,1,3,Bonnie,Native Californian
724,0,male,42.0,4.0,yes,4,14,5,4,58.0,4.4,1. FC Nürnberg,English,0.0,1,2,Charley,Native Californian
726,0,female,40.0,15.0,yes,5,12,1,3,1.0,4.3,AC Ajaccio,English,0.0,1,2,Floyd,Australian aboriginie
734,0,female,33.0,15.0,yes,4,16,6,4,4.0,3.5,VfL Wolfsburg,German,0.0,1,2,Florence,Borneo
735,0,male,16.0,7.0,yes,1,16,5,4,290.0,3.8,VfB Stuttgart,English,0.0,1,2,Chantal,East Africa
736,0,male,18.0,7.0,yes,4,20,6,3,20020.0,3.9,Real Madrid,English,0.0,4,2,Hugo,Afalou
737,0,male,23.0,0.75,no,2,14,4,3,230.0,3.7,RCD Mallorca,English,1.0,1,2,Jerry,Khoi-San
739,0,male,21.0,4.0,yes,2,18,5,3,3620.0,3.3,Getafe CF,,0.0,2,2,Bob,Australian aboriginie
743,0,male,39.0,15.0,yes,4,20,6,3,66730.0,4.0,Olympique Lyon,English,0.0,5,2,Andrew,Native Californian
745,0,male,21.0,0.75,yes,2,14,4,3,96.0,3.8,Fortuna Düsseldorf,English,,3,2,Emily,Native Californian
747,0,male,45.0,15.0,yes,4,20,6,3,1650.0,4.2,1. FSV Mainz 05,English,0.0,2,3,Erin,East Africa
751,0,female,58.0,15.0,yes,5,17,1,1,7550.0,3.1,Borussia Dortmund,English,1.0,3,3,Opal,Alaska
752,0,female,45.0,15.0,yes,4,14,1,2,700.0,3.6,Hannover 96,English,1.0,2,3,Bertha,East Africa
754,0,male,35.0,7.0,yes,4,14,5,3,8260.0,3.3,Tottenham Hotspur,German,1.0,3,3,Fran,Afalou
760,0,male,24.0,4.0,yes,2,16,5,5,200.0,2.9,Girondins Bordeaux,English,0.0,1,2,Danny,Sami
763,0,female,,4.0,yes,2,18,6,5,1650.0,3.1,Fulham FC,,0.0,2,2,Bonnie,Khoi-San or bushman half-caste
774,0,female,18.0,4.0,yes,2,18,5,5,160.0,4.0,Valencia CF,English,0.0,1,2,Earl,Ebolwa
776,0,male,60.0,15.0,yes,5,18,6,5,3870.0,4.0,Manchester United,Spanish,0.0,2,3,Georges,Native Californian
779,0,female,64.0,15.0,yes,5,12,5,4,94.0,4.2,Real Madrid,English,1.0,3,3,Bret,Afalou
784,0,female,,10.0,yes,3,17,1,4,8130.0,3.8,Sevilla FC,,0.0,2,3,Floyd,Borneo
788,0,female,,1.5,yes,4,17,1,2,1430.0,4.3,Fortuna Düsseldorf,,0.0,1,2,Irene,Australian aboriginie
794,0,female,38.0,15.0,yes,2,18,5,2,1260.0,4.6,West Ham United,Spanish,0.0,1,2,Lili,Borneo
795,0,female,37.0,1.5,no,4,14,5,4,250.0,4.3,Lille OSC,Standard_Hindi,0.0,1,3,Claudette,East Africa
798,0,male,24.0,15.0,yes,3,14,3,4,4980.0,3.6,Norwich City,English,1.0,2,2,Isabel,Khoi-San
800,0,male,32.0,15.0,yes,4,9,2,2,5.0,4.2,FC Lorient,English,1.0,1,3,Alex,Chucki
803,0,male,50.0,15.0,yes,4,20,6,5,20510.0,3.9,Stade Reims,English,0.0,4,3,Charley,Native Californian
807,0,female,16.0,0.125,no,4,14,4,5,12620.0,4.1,Deportivo La Coruña,English,0.0,2,3,Frances,Ebolwa
812,0,female,25.0,10.0,yes,4,14,1,5,170.0,4.0,Bayern München,Italian,0.0,1,3,Gaston,Central Africa
820,0,female,20.0,15.0,yes,3,18,5,4,18590.0,4.3,Eintracht Frankfurt,English,0.0,3,3,Ivan,Native Californian
823,0,female,,1.5,no,2,18,6,5,10210.0,3.9,FC Augsburg,,0.0,3,4,Jeanne,West Africa
830,0,male,21.0,0.125,yes,2,18,5,2,350.0,4.2,Stade Brest,English,0.0,1,4,Cindy,Borneo
843,0,female,19.0,4.0,no,3,16,5,4,2650.0,4.2,Bayern München,German,1.0,3,2,Dennis,Buriat
848,0,female,50.0,10.0,yes,2,16,1,4,,4.9,Southampton FC,English,1.0,3,3,Katrina,East Africa
851,0,female,45.0,7.0,yes,4,16,1,3,91.0,4.0,AS Saint-Étienne,English,0.0,1,2,Ophelia,Native Californian
854,0,female,25.0,15.0,yes,4,14,5,4,10690.0,4.3,Borussia Dortmund,English,0.0,3,2,Rita,East Africa
856,0,female,28.0,15.0,yes,5,17,6,2,25960.0,4.9,Newcastle United,English,0.0,3,2,Wilma,Alaska
857,0,male,32.0,1.5,yes,4,14,6,5,51.0,3.9,Werder Bremen,English,1.0,1,3,Humberto,Ebolwa
859,0,female,18.0,4.0,yes,3,17,5,3,1110.0,4.9,Olympique Marseille,English,0.0,1,2,Dolly,Ona
863,0,female,22.0,7.0,no,4,18,5,5,4360.0,3.9,Eintracht Frankfurt,Korean,0.0,2,2,Gustav,East Africa
865,0,female,30.0,0.417,yes,3,14,3,5,20370.0,4.0,Paris Saint-Germain,Indonesian,0.0,2,2,Ike,Central Africa
867,0,female,21.0,7.0,yes,4,14,1,5,7110.0,3.5,Espanyol Barcelona,Chinese,0.0,1,3,Irene,Native Californian
870,0,male,32.0,0.75,no,3,16,5,5,24000.0,3.9,Paris Saint-Germain,English,0.0,1,4,Isaac,Khoi-San or bushman half-caste
873,0,male,22.0,4.0,yes,2,20,5,5,75000.0,4.0,Atlético Madrid,Other,0.0,2,2,Sandy,Ebolwa
875,0,male,21.0,10.0,yes,4,16,4,5,1590.0,3.6,Queens Park Rangers,English,0.0,3,3,Easy,West Africa
876,0,male,52.0,15.0,yes,1,14,5,5,5350.0,3.0,Hamburger SV,Portuguese,0.0,3,2,King,French Cameroons
877,0,male,20.0,0.75,no,3,17,4,5,150.0,3.0,Chelsea FC,Chinese,0.0,1,2,Able,Native Californian
880,0,female,24.0,7.0,yes,4,17,1,4,58.0,3.6,Olympique Lyon,English,0.0,1,2,Barbara,West Africa
903,0,male,,0.417,yes,4,20,5,4,15.0,3.6,Newcastle United,,1.0,1,2,Florence,Alaska
904,0,male,37.0,15.0,yes,4,20,5,4,19321.0,3.2,FC Barcelona,Standard_Hindi,0.0,3,3,Carol,Alaska
905,0,female,22.0,15.0,yes,2,14,1,3,3230.0,3.9,Fortuna Düsseldorf,English,0.0,3,2,Edna,Buriat
908,0,male,45.0,4.0,yes,1,18,5,4,24260.0,3.5,Borussia Dortmund,English,1.0,4,4,Hazel,Khoi-San or bushman half-caste
909,0,male,27.0,15.0,yes,4,17,5,3,2030.0,3.5,Bor. Mönchengladbach,English,0.0,3,2,Connie,Afalou
910,0,female,33.0,1.5,no,2,14,4,5,14730.0,3.1,Real Madrid,English,0.0,1,3,Diane,East Africa
912,0,male,49.0,15.0,yes,4,14,6,2,6200.0,4.2,Arsenal FC,English,0.0,3,3,Ione,Buriat
914,0,female,18.0,1.5,no,4,17,5,5,1540.0,3.6,Queens Park Rangers,English,0.0,2,2,Flossy,Chucki
915,0,male,22.0,4.0,yes,5,14,3,5,,4.5,Hannover 96,English,0.0,4,4,Audrey,French Cameroons
916,0,male,23.0,4.0,yes,2,14,3,5,540.0,3.7,Bayern München,English,0.0,3,3,Helene,Native Californian
920,0,female,31.0,1.5,no,3,16,6,5,430.0,3.4,Olympique Marseille,English,0.0,1,2,Debra,Borneo
921,0,male,33.0,0.75,no,2,18,3,3,510.0,4.5,Aston Villa,English,0.0,3,3,Gracie,Afalou
925,0,female,33.0,7.0,yes,2,14,5,2,53270.0,4.6,Queens Park Rangers,German,0.0,4,2,Donna,Afalou
926,0,female,24.0,0.75,no,2,17,5,3,35.0,4.8,Fulham FC,English,0.0,1,2,Ethel,Native Californian
929,0,female,40.0,15.0,yes,4,12,1,2,15850.0,4.5,Stade Reims,German,0.0,4,2,Carla,French Cameroons
931,0,female,25.0,1.5,no,1,14,1,5,300.0,4.4,Wigan Athletic,English,1.0,1,2,Cindy,Alaska
945,0,female,21.0,10.0,no,2,12,4,4,6450.0,4.1,RCD Mallorca,English,1.0,2,2,Cleo,Chucki
947,0,female,20.0,15.0,yes,4,18,5,3,16260.0,3.9,Southampton FC,English,0.0,2,2,Dora,Tasmanien
949,0,female,39.0,15.0,yes,3,12,3,3,2770.0,4.3,Southampton FC,English,0.0,3,2,Hilda,Khoi-San
950,0,male,25.0,4.0,no,2,18,5,5,800.0,3.5,Borussia Dortmund,English,1.0,2,2,Isbell,Khoi-San
961,0,male,40.0,7.0,yes,2,20,6,2,20000.0,4.0,RCD Mallorca,English,0.0,3,2,Betsy,Afalou
965,0,male,25.0,0.75,no,2,17,5,5,730.0,4.0,Hamburger SV,English,0.0,2,3,Alma,Australian aboriginie
966,0,female,60.0,4.0,no,2,17,4,5,99.0,4.6,VfL Wolfsburg,English,0.0,1,3,Inez,West Africa
967,0,male,,1.5,no,5,20,6,5,5060.0,4.6,Valencia CF,,0.0,3,3,Beulah,Khoi-San
987,0,male,44.0,1.5,no,4,17,6,5,800.0,3.7,1. FSV Mainz 05,English,0.0,2,3,Gladys,Ebolwa
990,0,male,21.0,4.0,no,4,17,5,3,23040.0,3.5,Tottenham Hotspur,English,0.0,5,2,Camille,Ebolwa
992,0,female,33.0,4.0,yes,1,14,5,4,6870.0,3.6,Bayern München,English,0.0,3,2,Celia,Sami
995,0,male,26.0,15.0,yes,5,20,4,5,300.0,3.9,Tottenham Hotspur,English,1.0,2,2,Edith,Australian aboriginie
1009,0,female,26.0,10.0,yes,3,16,6,3,500.0,4.2,SC Bastia,English,0.0,1,3,Fern,Chucki
1021,0,male,,15.0,yes,4,17,6,5,200.0,3.2,FC Lorient,,1.0,1,3,Ginger,Native Californian
