focal,other,dyad,win,dist_focal,dist_other,n_focal,n_other,m_focal,m_other,f_focal,f_other,ndam,eval,gender,language,age,female,category,hours,name,majority_first
2,5,5,1,324,264,5,6,2,2,3,4,8130.0,4.7,female,English,35.0,0.0,2,1.193,Floyd,0
4,5,8,1,205,548,10,6,3,2,7,4,19321.0,3.7,female,English,58.0,0.0,3,0.151,Carol,0
4,2,4,1,174,239,10,5,3,2,7,3,2130.0,3.7,male,English,38.0,0.0,3,0.113,Allen,0
5,2,5,1,258,469,6,5,2,2,4,3,4180.0,3.7,male,Dutch,21.0,0.0,3,16.734,Elena,0
4,2,4,0,72,248,10,5,3,2,7,3,53270.0,4.8,male,English,13.0,1.0,4,8.369,Donna,1
5,2,5,0,497,264,6,5,2,2,4,3,130.0,3.7,female,English,43.0,0.0,1,0.83,Bob,0
4,5,8,1,239,334,10,6,3,2,7,4,20430.0,4.0,male,English,26.0,0.0,1,2.723,Agnes,0
2,5,5,1,290,363,5,6,2,2,3,4,24260.0,4.9,male,Chinese,23.0,0.0,4,10.054,Hazel,0
6,3,7,0,584,159,10,10,3,3,7,7,10210.0,4.0,female,Dutch,26.0,0.0,3,3.905,Jeanne,0
2,4,4,0,262,82,5,10,2,3,3,7,5060.0,3.9,male,Romanian,27.0,0.0,3,0.428,Beulah,0
2,4,4,0,303,105,5,10,2,3,3,7,300.0,4.4,female,Italian,25.0,1.0,1,0.013,Cindy,0
1,6,3,1,343,471,13,10,4,3,9,7,20510.0,3.9,female,English,34.0,1.0,4,0.145,Charley,1
2,5,5,1,591,295,5,6,2,2,3,4,730.0,4.3,female,Other,22.0,0.0,2,2.586,Alma,1
1,2,1,0,579,327,13,5,4,2,9,3,1.0,3.5,male,English,24.0,0.0,1,4.349,Floyd,1
5,2,5,1,242,425,6,5,2,2,4,3,540.0,4.6,female,,,1.0,3,0.046,Helene,1
2,4,4,1,335,166,5,10,2,3,3,7,20000.0,3.5,male,English,18.0,0.0,3,35.413,Betsy,0
2,4,4,0,308,177,5,10,2,3,3,7,58.0,4.3,female,English,39.0,0.0,1,0.277,Barbara,0
1,6,3,0,390,467,13,10,4,3,9,7,35.0,4.3,male,Other,19.0,0.0,1,11.008,Ethel,1
4,2,4,1,88,208,10,5,3,2,7,3,66.0,4.5,male,English,18.0,1.0,1,0.103,Babe,0
5,2,5,0,373,374,6,5,2,2,4,3,2030.0,3.2,male,English,31.0,0.0,3,12.389,Connie,0
1,6,3,0,328,457,13,10,4,3,9,7,250.0,3.6,female,,20.0,0.0,1,17.493,Claudette,1
2,5,5,1,259,193,5,6,2,2,3,4,3230.0,4.0,male,Chinese,21.0,0.0,3,8.663,Edna,0
1,6,3,1,259,454,13,10,4,3,9,7,4360.0,3.5,male,English,26.0,0.0,2,0.389,Gustav,0
6,3,7,0,388,417,10,10,3,3,7,7,6190.0,3.8,female,English,13.0,1.0,3,1.032,Eloise,1
2,4,4,0,252,234,5,10,2,3,3,7,51.0,3.5,female,English,50.0,0.0,1,3.04,Humberto,0
6,3,7,0,578,416,10,10,3,3,7,7,20020.0,4.3,female,Swedish,18.0,0.0,4,0.067,Hugo,0
6,3,7,0,535,300,10,10,3,3,7,7,75000.0,4.0,female,English,31.0,0.0,2,1.46,Sandy,0
