chimpanzee,age,sex,hammer,nuts_opened,seconds,help,player,religiousness,expenditure,school,persons,games,f_other,language,n_other,deny
13,6,m,G,0,23.0,y,Beg Ferati,2,5201.515625,Bella Vista Elementary,1,5,4,English,6,0
7,6,m,wood,0,47.0,N,Shola Ameobi,4,6653.030762,McCloud Union Elementary,2,1,7,English,10,0
3,7,f,G,4,23.0,N,Darron Gibson,1,4922.939941,Cypress Elementary,2,7,3,English,5,0
3,7,f,L,0,16.0,N,Janek Sternberg,5,5252.810547,El Centro Elementary,4,2,4,English,6,0
3,7,f,L,0,13.5,N,Niklas Lomb,2,5532.582031,Grass Valley Elementary,2,2,4,English,6,0
19,7,m,G,8,16.0,N, Cristiano Ronaldo,2,4145.835938,Pleasant Grove Joint Union Elementary,4,10,3,English,5,0
9,7,m,G,10,23.5,N,Zoltán Gera,4,5090.587891,Cottonwood Union Elementary,2,1,3,Dutch,5,1
9,7,m,G,11,33.0,N, Nélson,5,4276.115234,Rockford  Elementary,2,3,3,English,5,1
9,7,m,G,1,3.0,N,Fabien Camus,2,4797.503418,Jefferson Elementary,2,9,3,English,5,0
16,8,f,G,4,12.0,N,Wesley Hoolahan,4,5119.158203,Richland-Lerdo Union Elementary,1,3,4,English,6,0
2,8,f,G,2,10.5,N,William Gallas,3,4948.868164,Victor Elementary,3,1,4,Chinese,6,0
2,8,f,G,1,12.0,N, Ryan Mendes,2,4890.986816,Millbrae Elementary,4,2,7,Dutch,10,0
16,8,f,G,0,7.5,N,Matthias Ostrzolek,4,5267.831055,Cucamonga Elementary,3,1,7,Romanian,10,0
16,8,f,G,0,32.0,N,Liam Ridgewell,3,5238.39209,Knightsen Elementary,4,3,7,Italian,10,0
9,8,m,G,36,38.0,N,Javier Pinola,4,7290.338867,Las Lomitas Elementary,4,1,7,English,10,0
19,8,m,G,4,9.0,y,Florent Malouda,2,5117.141602,King City Union Elementary,4,3,4,Other,6,0
9,8,m,G,16,13.0,N,Claudio Pizarro,2,5172.019531,Magnolia Elementary,2,1,3,English,5,0
9,8,m,G,77,59.0,N,Vegar Hedenstad,3,5281.708984,Encinitas Union Elementary,4,1,3,,5,0
9,8,m,G,41,40.0,N,Sebastian Larsson,3,5467.673828,Ocean View Elementary,4,21,7,English,10,0
19,8,m,G,22,36.0,N,Hajime Hosogai,4,5133.009766,Mother Lode Union Elementary,2,1,7,English,10,0
9,8,m,G,49,51.0,N,David Fox,2,4993.634766,Pleasant Ridge Union Elementary,2,1,7,Other,10,0
19,8,m,G,37,60.0,N,Roque Santa Cruz,2,6026.359863,Pixley Union Elementary,3,2,3,English,5,0
19,8,m,G,31,71.0,y, Isma López,3,6313.373535,Montague Elementary,4,1,3,English,5,0
19,8,m,G,11,14.0,N, Thiago,3,5182.365723,Alpine Union Elementary,2,2,7,,10,0
9,8,m,G,5,10.0,N,Massimo Luongo,2,6384.911133,Sunol Glen Unified,3,2,4,Chinese,6,0
19,8,m,G,8,33.0,y,Moussa Sissoko,5,5433.593262,Lamont Elementary,3,4,7,English,10,0
9,8,m,L,0,11.0,N,Alex Smith,2,7614.379395,Pacific Elementary,4,1,7,English,10,0
4,9,f,G,1,4.5,N,Korey Smith,3,4965.808105,Columbia Elementary,1,3,7,English,10,0
4,9,f,wood,0,17.0,N,Stilian Petrov,4,5784.625,Mt. Shasta Union Elementary,3,10,7,Swedish,10,0
9,9,m,G,30,47.0,N,Leyti N'Diaye,4,4522.375488,Rosedale Union Elementary,3,1,7,English,10,1
9,9,m,G,13,24.0,N,Mickaël Landreau,2,5462.899414,Rio Dell Elementary,3,3,9,English,13,0
9,9,m,G,15,34.5,N,Ján Mucha,1,5098.626953,Atwater Elementary,2,1,9,English,13,0
4,10,f,G,0,2.5,N, Cuéllar,3,4920.777344,Waugh Elementary,2,5,4,English,6,0
8,11,f,G,4,13.0,N,Holger Badstuber,3,5356.833496,Adelanto Elementary,2,1,7,English,10,0
14,12,f,G,10,10.0,N,Marc Tierney,4,5415.152832,Woodlake Union Elementary,4,1,3,English,5,0
21,13,f,G,5,13.0,N, Ramires,2,5235.774902,Rincon Valley Union Elementary,1,4,3,English,5,0
12,13,m,G,51,43.0,N,Edin Džeko,3,5149.186523,Red Bluff Union Elementary,4,5,3,Other,5,0
5,13,m,G,3,6.0,N,Sanjin Prcić,3,5771.383789,Douglas City Elementary,3,1,7,English,10,0
5,13,m,G,4,6.5,N,James Perch,2,4941.787598,Laguna Salada Union Elementary,2,2,4,English,6,1
20,14,m,G,50,50.0,N, Edu,4,5485.496094,Fairfax Elementary,4,1,3,Romanian,5,0
20,14,m,G,36,48.0,N,Matthew Lowton,4,5373.206543,Jamestown Elementary,4,1,3,,5,0
20,14,m,G,6,14.5,N,James Tomkins,2,5884.432129,Weaverville Elementary,2,1,7,English,10,0
20,14,m,G,3,8.5,N,Granit Xhaka,4,4960.515625,Burton Elementary,3,1,9,German,13,0
20,14,m,G,4,15.0,N,Chinedu Ede,2,5346.15625,Latrobe Elementary,1,4,4,English,6,0
20,14,m,G,7,17.0,N,Leon Balogun,5,4016.41626,Lake Elementary,2,1,7,,10,0
20,15,m,G,41,56.5,N,Javier Pinola,4,4138.305664,Columbine Elementary,2,1,3,Chinese,5,0
10,15,m,G,27,33.0,N,Rory Delap,4,5107.086426,Wasco Union Elementary,1,1,3,English,5,0
6,15,m,G,30,36.0,N,Derrick Williams,1,5645.495605,Alum Rock Union Elementary,3,2,4,English,6,0
20,15,m,G,17,42.0,N,Alexis Thébaux,5,5211.485352,Placerville Union Elementary,4,6,3,English,5,0
20,15,m,G,14,23.0,N,Ronny Philp,3,6231.601563,Bangor Union Elementary,1,2,7,English,10,0
6,15,m,G,16,20.0,N,Fernando Gago,3,5230.876953,Lafayette Elementary,4,1,3,German,5,0
10,15,m,G,7,12.0,N, Felipe Santana,4,7711.506836,Woodside Elementary,4,1,9,English,13,0
10,15,m,G,5,12.5,N,Tom Starke,3,5526.236816,Robla Elementary,4,1,3,English,5,0
6,15,m,G,8,13.0,N,Christian Pander,1,7593.405762,Hillsborough City Elementary,1,1,7,Indonesian,10,0
6,16,m,G,24,20.0,N,Hugo Rodallega,3,4555.464355,Livingston Union Elementary,3,1,7,English,10,0
6,16,m,G,25,36.0,N, San José,5,5589.885254,Buttonwillow Union Elementary,4,1,4,English,6,0
