Unnamed: 0,female,black,housing_expense_ratio,self_employed,married,mortgage_credit,consumer_credit,bad_history,PI_ratio,deny,loan_to_value,denied_PMI,accept,player,religiousness,expenditure,school,persons,games,f_other,n_other,students,occupation
21,0.0,0,0.31,0,1.0,2,3,0,0.39,0,0.87857145,0,1,Fabian Giefer,2,4542.10498,Pleasant View Elementary,4,1,9,13,19,5
22,0.0,0,0.32,0,0.0,2,1,0,0.32,0,0.77205884,0,1, Bueno,4,5107.086426,Wasco Union Elementary,2,1,3,5,30,5
23,0.0,0,0.33,0,1.0,2,1,0,0.39,0,0.90102386,0,1, Agirretxe,3,4659.661621,Alta Vista Elementary,2,10,7,10,15,1
24,0.0,0,0.31,0,0.0,2,1,0,0.33,0,0.6543779,0,1,Piotr Trochowski,2,4555.464355,Livingston Union Elementary,3,1,7,10,20,6
25,1.0,0,0.13,0,0.0,2,1,0,0.28,0,0.6296296,0,1,Eden Hazard,2,5415.152832,Woodlake Union Elementary,2,2,4,6,84,5
26,1.0,0,0.28,0,0.0,2,1,0,0.37,0,0.8947368,0,1,André Schürrle,4,4997.871582,Alisal Union Elementary,4,1,9,13,13,1
27,0.0,0,0.25,0,0.0,2,1,0,0.3,0,0.4854369,0,1,Jon Walters,5,5223.912109,Arvin Union Elementary,2,14,7,10,12,6
28,0.0,0,0.29,0,1.0,2,1,0,0.31,0,0.9493671,0,1,Beg Ferati,3,5139.164551,Terra Bella Union Elementary,1,5,4,6,47,5
29,0.0,1,0.21,0,0.0,2,1,0,0.26,0,0.8910891,0,1,Shola Ameobi,3,4614.251953,Tipton Elementary,4,1,7,10,10,5
30,1.0,0,0.29,0,0.0,2,1,0,0.36,0,0.8633093,0,1,Darron Gibson,4,5342.233398,San Ysidro Elementary,1,7,3,5,28,6
31,0.0,0,0.2,0,1.0,1,5,0,0.37,0,0.71428573,0,1,Janek Sternberg,3,5347.458496,Soledad Unified,3,2,4,6,10,5
32,0.0,0,0.26,0,0.0,2,3,0,0.35,0,0.7512195,0,1,Niklas Lomb,4,5036.458984,Mountain View Elementary,4,2,4,6,86,6
33,0.0,0,0.26,0,0.0,2,1,0,0.37,0,0.9021277,0,1, Cristiano Ronaldo,5,5117.141602,King City Union Elementary,4,10,3,5,21,5
34,0.0,0,0.28,0,1.0,2,1,0,0.34,0,0.84705883,0,1,Zoltán Gera,1,5117.039551,Ontario-Montclair Elementary,1,1,3,5,15,6
35,0.0,0,0.28,0,1.0,2,1,0,0.38,0,0.47368422,0,1, Nélson,4,5272.191895,Los Nietos Elementary,2,3,3,5,30,5
36,0.0,0,0.31,0,1.0,1,1,0,0.44,0,0.6879699,0,1,Fabien Camus,3,5225.719238,Winton Elementary,2,9,3,5,20,1
37,0.0,1,0.22,0,1.0,1,2,0,0.35,0,0.8978102,0,1,Wesley Hoolahan,4,6516.533203,Raisin City Elementary,4,3,4,6,12,5
38,0.0,0,0.28,0,1.0,2,1,0,0.38,0,0.8808511,0,1,William Gallas,1,4559.176758,Ravenswood City Elementary,3,1,4,6,25,3
39,0.0,0,0.34,0,0.0,2,1,0,0.37,0,0.9197531,0,1, Ryan Mendes,3,5119.158203,Richland-Lerdo Union Elementary,4,2,7,10,15,1
40,0.0,0,0.28,0,1.0,2,1,0,0.37,0,0.93636364,0,1,Matthias Ostrzolek,5,5338.185547,Oxnard Elementary,1,1,7,10,13,6
41,0.0,0,0.1,0,1.0,1,1,0,0.41,0,0.64285713,0,1,Liam Ridgewell,5,5090.044922,El Nido Elementary,4,3,7,10,42,6
42,0.0,0,0.34,0,1.0,2,1,0,0.35,1,1.4782609,1,0,Javier Pinola,5,5485.496094,Fairfax Elementary,3,1,7,10,22,1
43,0.0,0,0.3,0,1.0,4,3,0,0.41,1,0.72,0,0,Florent Malouda,2,4793.370117,Delano Union Elementary,4,3,4,6,28,6
44,1.0,0,0.28,0,0.0,2,6,1,0.34,0,0.6779661,0,1,Claudio Pizarro,5,5092.91748,Perris Elementary,4,1,3,5,22,5
45,0.0,0,0.19,0,1.0,2,2,0,0.29,0,0.9,0,1,Vegar Hedenstad,3,4359.520996,Valle Lindo Elementary,1,1,3,5,30,5
46,0.0,0,0.26,0,1.0,2,6,1,0.27,1,0.8,0,0,Sebastian Larsson,4,5645.495605,Alum Rock Union Elementary,2,21,7,10,26,6
47,1.0,1,0.27,0,0.0,2,1,0,0.37,0,0.85384613,0,1,Hajime Hosogai,2,4518.016113,Edison Elementary,1,1,7,10,12,5
48,0.0,0,0.3,1,1.0,2,1,0,0.34,1,0.7419355,0,0,David Fox,4,5864.366211,Bakersfield City Elementary,2,1,7,10,22,3
49,0.0,0,0.15,0,0.0,1,2,0,0.36,0,0.6756757,0,1,Roque Santa Cruz,2,5257.996582,Franklin-McKinley Elementary,2,2,3,5,57,6
50,1.0,0,0.32,0,0.0,3,5,0,0.34,0,0.6436782,0,1, Isma López,5,5016.692383,Hawthorne Elementary,2,1,3,5,10,3
51,0.0,0,0.21,0,1.0,2,1,0,0.27,0,0.9411765,0,1, Thiago,2,4720.086426,Chowchilla Elementary,2,2,7,10,69,6
52,0.0,0,0.08,0,0.0,1,1,0,0.16,0,0.7324841,0,1,Massimo Luongo,5,5470.5625,Salinas City Elementary,4,2,4,6,46,6
53,0.0,0,0.28,0,0.0,2,1,0,0.39,0,0.91358024,0,1,Moussa Sissoko,4,5615.441895,Santa Maria-Bonita Elementary,2,4,7,10,54,6
54,0.0,0,0.26,0,1.0,2,5,0,0.36,0,0.20714286,0,1,Alex Smith,1,5245.439941,Whittier City Elementary,3,1,7,10,24,5
55,0.0,0,0.265,0,1.0,2,1,1,0.314,0,0.93442625,0,1,Korey Smith,4,4838.175293,Eastside Union Elementary,1,3,7,10,85,3
56,0.0,0,0.28,0,1.0,2,1,1,0.34,0,0.9034483,0,1,Stilian Petrov,5,5367.988281,Lawndale Elementary,1,10,7,10,44,4
57,0.0,0,0.28100002,0,0.0,2,2,0,0.33200002,0,0.902439,0,1,Leyti N'Diaye,4,5526.236816,Robla Elementary,1,1,7,10,35,1
58,1.0,0,0.33,1,0.0,1,1,0,0.33,0,0.6369427,0,1,Mickaël Landreau,4,4353.019531,Santa Rita Union Elementary,4,3,9,13,11,5
59,0.0,0,0.272,0,0.0,2,1,0,0.39900002,0,0.7692308,0,1,Ján Mucha,4,5034.290039,Rio Elementary,1,1,9,13,22,6
60,0.0,0,0.322,0,1.0,2,1,0,0.342,0,0.75,0,1, Cuéllar,5,4692.493652,Strathmore Union Elementary,2,5,4,6,45,7
61,1.0,0,0.278,0,0.0,1,2,0,0.376,0,0.8,0,1,Holger Badstuber,3,5606.781738,North Sacramento Elementary,2,1,7,10,22,6
62,0.0,0,0.25100002,0,1.0,2,1,0,0.32099998,0,0.8888889,0,1,Marc Tierney,2,4969.180664,Anaheim Elementary,2,1,3,5,64,5
63,0.0,0,0.20799999,0,1.0,2,1,0,0.27899998,0,0.7518797,0,1, Ramires,2,4675.674805,Lemoore Union Elementary,4,4,3,5,31,4
64,0.0,0,0.246,0,1.0,2,2,0,0.317,0,0.89403975,0,1,Edin Džeko,4,5306.132813,Armona Union Elementary,4,5,3,5,59,6
65,0.0,1,0.26,1,1.0,2,1,0,0.285,0,0.65,0,1,Sanjin Prcić,2,5693.883301,Beardsley Elementary,1,1,7,10,9,3
66,0.0,0,0.24,0,1.0,2,2,0,0.365,0,0.9403973,0,1,James Perch,4,5181.57959,South Whittier Elementary,1,2,4,6,15,6
67,1.0,0,0.314,0,1.0,1,4,0,0.337,0,0.42553192,0,1, Edu,3,5228.650879,Hanford Elementary,3,1,3,5,23,6
68,1.0,0,0.27,0,0.0,1,1,0,0.35,0,0.6785714,0,1,Matthew Lowton,5,5339.391113,National Elementary,1,1,3,5,47,5
69,1.0,0,0.289,0,0.0,2,2,0,0.352,0,0.88461536,0,1,James Tomkins,2,6056.49707,Roseland Elementary,2,1,7,10,19,6
70,1.0,0,0.28,0,1.0,1,1,0,0.35,0,0.9391892,0,1,Granit Xhaka,3,4845.680176,Di Giorgio Elementary,3,1,9,13,17,5
71,0.0,0,0.25100002,0,1.0,2,1,0,0.344,0,0.902439,0,1,Chinedu Ede,5,4826.666016,Keppel Union Elementary,4,4,4,6,46,4
72,0.0,0,0.28,0,0.0,2,1,0,0.28,0,0.738255,0,1,Leon Balogun,2,5367.090332,Lakeside Union Elementary,4,1,7,10,348,5
73,0.0,0,0.225,0,1.0,2,2,0,0.378,0,0.8994709,0,1,Javier Pinola,4,5742.73291,Merced City Elementary,3,1,3,5,44,4
74,0.0,0,0.19399999,0,1.0,2,2,0,0.258,0,0.6779661,0,1,Rory Delap,1,4136.250977,Guadalupe Union Elementary,1,1,3,5,19,5
75,0.0,0,0.081999995,1,1.0,1,2,0,0.218,0,0.8021978,0,1,Derrick Williams,4,5267.831055,Cucamonga Elementary,2,2,4,6,47,5
76,0.0,0,0.17,0,1.0,1,1,0,0.23,0,0.55307263,0,1,Alexis Thébaux,3,5238.39209,Knightsen Elementary,3,6,3,5,33,5
77,0.0,0,0.285,0,1.0,2,1,0,0.285,0,0.65156794,0,1,Ronny Philp,3,5462.899414,Rio Dell Elementary,1,2,7,10,10,6
78,0.0,0,0.265,0,1.0,2,2,1,0.265,1,0.83516484,1,0,Fernando Gago,3,6313.373535,Montague Elementary,2,1,3,5,7,5
79,0.0,0,0.24,0,0.0,4,1,0,0.36,0,0.78431374,0,1, Felipe Santana,2,6653.030762,McCloud Union Elementary,4,1,9,13,9,7
80,0.0,0,0.27,0,1.0,1,1,0,0.272,0,0.6666667,0,1,Tom Starke,3,5533.149414,Santa Paula Elementary,4,1,3,5,12,6
81,0.0,0,0.22,1,0.0,1,2,0,0.36,0,0.8011364,0,1,Christian Pander,4,6118.710449,West Park Elementary,2,1,7,10,13,6
82,0.0,1,0.31,0,1.0,2,4,0,0.31,1,0.88235295,0,0,Hugo Rodallega,2,5098.626953,Atwater Elementary,3,1,7,10,16,3
83,0.0,0,0.289,0,0.0,2,2,0,0.35900003,1,0.9029851,0,0, San José,4,5652.878906,Weaver Union Elementary,1,1,4,6,18,3
84,0.0,0,0.244,0,1.0,1,2,0,0.397,0,0.6603774,0,1,Jens Grahl,4,5329.002441,Pacific Union Elementary,1,1,9,13,16,1
85,0.0,0,0.26,1,1.0,1,2,0,0.34,0,0.7467533,0,1,Thomas Sørensen,1,5929.809082,Lucerne Valley Unified,3,11,7,10,15,6
86,0.0,1,0.213,0,1.0,2,2,0,0.219,1,0.7676768,0,0,Mario Balotelli,4,4897.067871,Romoland Elementary,4,1,4,6,85,5
87,1.0,0,0.32,0,0.0,2,1,0,0.32,0,0.85,0,1,Rio Mavuba,3,5100.202148,El Monte City Elementary,1,7,7,10,11,5
88,0.0,0,0.24,0,1.0,2,1,0,0.32,0,0.94814813,0,1,Frank Lampard,3,4825.722656,Greenfield Union Elementary,4,1,3,5,60,1
89,0.0,0,0.28,0,0.0,2,1,0,0.28,0,0.4347826,0,1,Marouane Fellaini,3,4079.12915,Palo Verde Union Elementary,3,8,4,6,27,1
90,0.0,1,0.32,0,1.0,2,3,0,0.38799998,1,0.8881119,0,0,Matthieu Sans,4,5349.367676,Elverta Joint Elementary,3,2,4,6,61,3
91,1.0,0,0.18,0,0.0,2,1,0,0.25,0,0.7826087,0,1,Junior Fernandes,2,5869.38916,Lucerne Elementary,2,1,3,5,23,5
92,0.0,0,0.25,0,1.0,1,1,0,0.34,0,0.8,0,1,Ludovic Giuly,4,6462.12793,Luther Burbank Elementary,3,2,3,5,98,5
93,0.0,0,0.22,0,0.0,2,2,0,0.32,0,0.7305936,0,1,Klaas-Jan Huntelaar,5,6231.601563,Bangor Union Elementary,2,15,3,5,48,5
94,0.0,0,0.256,1,1.0,2,1,0,0.312,0,0.7922078,0,1, Andre Luiz,1,4993.867676,Bayshore Elementary,4,1,3,5,86,3
95,0.0,0,0.31,0,0.0,2,1,0,0.33,0,0.5802469,0,1, Pedro,5,4663.811035,Oak Valley Union Elementary,3,10,4,6,76,1
96,0.0,0,0.31,0,1.0,2,2,0,0.32,0,0.6363636,0,1,Anthony Annan,3,6107.106445,Wilsona Elementary,4,1,4,6,77,6
97,0.0,0,0.3,0,1.0,1,2,0,0.38,0,0.87647057,0,1,Gonzalo Jara,1,5324.228027,Brawley Elementary,4,3,7,10,35,6
98,0.0,0,0.2,0,1.0,2,1,0,0.32,0,0.7969925,0,1,Stefan Thesker,3,5221.460938,Meadows Union Elementary,2,1,7,10,39,5
99,0.0,0,0.22,0,1.0,2,1,0,0.23,0,0.9222222,0,1,Andriy Voronin,4,5157.784668,Little Lake City Elementary,4,1,7,10,111,6
100,0.0,0,0.27,0,1.0,2,2,0,0.27,0,0.75126904,0,1,Renaud Cohade,5,5131.119141,Pond Union Elementary,1,3,7,10,24,1
101,1.0,0,0.314,0,0.0,1,5,0,0.314,0,0.6666667,0,1,Emre Can,2,5279.354004,Taft City Elementary,2,1,4,6,24,6
102,0.0,0,0.23,0,0.0,2,3,0,0.35,0,0.8518519,0,1,Francis Coquelin,4,4704.043945,Brittan Elementary,4,2,3,5,17,4
103,1.0,0,0.27,1,0.0,2,2,0,0.32,0,0.74336284,0,1, Diego,5,6089.910645,Arena Union Elementary,3,1,3,5,14,6
104,0.0,0,0.102,0,1.0,1,1,0,0.35799998,0,0.8,0,1,Martín Demichelis,4,5356.833496,Adelanto Elementary,2,6,7,10,37,6
105,0.0,0,0.33,0,0.0,2,1,0,0.35,1,0.9296875,1,0,Roy Contout,4,5144.549316,Hollister School District,4,1,7,10,18,6
106,1.0,0,0.24,0,1.0,2,3,0,0.34,0,0.92253524,0,1,Benoît Costil,4,4906.22998,Palmdale Elementary,1,3,7,10,15,5
107,0.0,0,0.22,1,0.0,2,2,0,0.31,0,0.8,0,1, Yannick Djaló,4,5489.588867,Oroville City Elementary,3,4,3,5,40,5
108,0.0,0,0.21,0,1.0,3,3,0,0.29,0,0.7032258,0,1,Sebastian Freis,3,5718.55127,Standard Elementary,4,1,3,5,38,6
109,0.0,0,0.39,0,1.0,2,1,0,0.61,1,0.5555556,0,0,Stephen Kelly,2,4436.152832,Briggs Elementary,4,1,7,10,40,5
110,0.0,0,0.22600001,0,1.0,1,1,0,0.26299998,0,0.62540716,0,1, Maicon,4,4895.439453,Monroe Elementary,1,1,4,6,52,1
111,0.0,0,0.258,0,0.0,2,2,0,0.262,0,0.6870229,0,1,Ryan Mason,4,5159.21875,Lancaster Elementary,2,1,7,10,49,6
112,0.0,0,0.289,0,1.0,2,1,0,0.36,0,0.7875,0,1,Carlos Sánchez,5,5490.654785,Alview-Dairyland Union Elementary,1,1,7,10,160,5
113,0.0,0,0.31,1,0.0,1,2,0,0.46,1,1.1055555,0,0,Chris Brunt,5,5172.019531,Magnolia Elementary,4,1,7,10,79,7
114,0.0,0,0.218,0,1.0,2,1,0,0.305,0,0.6666667,0,1,Benjamin Lecomte,3,4441.672852,Liberty Elementary,3,2,7,10,176,5
115,0.0,0,0.28,0,0.0,2,2,0,0.384,0,0.50666666,0,1, Xavi,4,5220.370117,Mt. Pleasant Elementary,2,1,7,10,155,6
116,0.0,0,0.215,1,1.0,2,1,0,0.264,0,0.7881773,0,1,Bănel Nicoliţă,4,5252.810547,El Centro Elementary,2,2,9,13,166,3
117,0.0,0,0.309,0,1.0,1,1,0,0.33,0,0.30232558,0,1,Patrick Owomoyela,5,5518.702148,South Bay Union Elementary,4,1,9,13,186,6
118,1.0,1,0.31,1,0.0,2,3,0,0.47,1,0.89261746,0,0,Sejad Salihović,4,5609.487793,Cascade Union Elementary,3,3,4,6,29,1
119,0.0,0,0.18,0,1.0,2,1,0,0.19,0,0.73888886,0,1,Shawn Parker,4,4945.031738,Kings River Union Elementary,3,1,7,10,37,2
120,0.0,0,0.3,0,0.0,2,4,0,0.3,0,0.8947368,0,1,Ashley Westwood,2,5223.025391,Gerber Union Elementary,2,1,3,5,29,2
121,0.0,0,0.26,0,1.0,1,1,0,0.36,0,0.7386364,0,1,Kevin Großkreutz,5,4757.025391,Exeter Union Elementary,1,18,3,5,28,5
122,1.0,0,0.26,0,0.0,2,1,0,0.33,0,0.7,0,1,Mamadou Bah,4,5522.161621,American Union Elementary,4,1,3,5,21,5
123,0.0,0,0.23,0,0.0,2,1,0,0.23,0,0.7368421,0,1,Chris Smalling,2,6087.608887,San Antonio Union Elementary,1,2,7,10,13,1
124,0.0,0,0.34,0,1.0,1,3,0,0.41,0,0.8,0,1,Jérémy Ménez,3,4960.515625,Burton Elementary,4,11,4,6,16,5
125,1.0,0,0.3,0,1.0,2,2,0,0.36,0,0.9506173,0,1, Antonio López,5,4880.040527,Nuview Union Elementary,4,3,3,5,24,6
126,0.0,0,0.33,0,1.0,2,1,0,0.41,1,0.6945946,0,0,Vurnon Anita,2,6538.417969,Bellevue Union Elementary,1,1,3,5,23,4
127,0.0,0,0.33,0,1.0,2,1,0,0.33,0,0.6818182,0,1,Aaron Ramsey,4,4925.659668,Garvey Elementary,3,1,7,10,20,5
128,1.0,0,0.29,0,0.0,2,6,1,0.29,1,0.5714286,0,0,Antonio Valencia,2,5204.6875,Corning Union Elementary,2,1,9,13,29,6
129,0.0,0,0.28,0,1.0,1,1,0,0.41,0,0.7867868,0,1,Dawda Bah,2,4907.410645,Jefferson Elementary,4,11,4,6,11,6
130,0.0,0,0.28,0,1.0,2,1,0,0.33,0,0.8978723,0,1,Patrick Helmes,4,5923.45166,Big Springs Union Elementary,3,1,7,10,29,1
131,1.0,0,0.19,0,1.0,1,1,0,0.23,0,0.88917524,0,1,Serdar Taşçı,4,4741.957031,General Shafter Elementary,1,2,3,5,25,6
132,0.0,0,0.34,1,1.0,1,1,0,0.39,0,0.717037,0,1,Salif Sané,2,4954.019531,Turlock Joint Elementary,4,2,3,5,42,6
133,0.0,0,0.15,1,1.0,1,5,0,0.39,0,0.79846936,0,1,Glen Johnson,2,5500.10791,Twain Harte-Long Barn Union Elementary,4,2,4,6,34,6
134,0.0,0,0.24,0,1.0,1,1,0,0.27,0,0.8,0,1, Capdevila,3,5360.51709,Redwood City Elementary,2,8,3,5,12,5
135,0.0,0,0.142,1,0.0,1,1,0,0.384,0,0.8,0,1,Clemens Fritz,3,5685.63916,Camino Union Elementary,4,2,7,10,14,5
136,0.0,1,0.277,0,0.0,2,6,0,0.382,0,0.8041237,0,1,Claudio Yacob,2,5594.196289,Plainsburg Union Elementary,4,1,3,5,22,6
137,0.0,0,0.261,0,1.0,2,1,0,0.37,0,0.5813008,0,1,Péter Gulácsi,2,4692.566895,Banta Elementary,3,1,9,13,10,1
138,0.0,0,0.32299998,0,0.0,2,4,0,0.325,0,0.7819149,0,1,Frédéric Piquionne,4,5085.40625,Washington Colony Elementary,2,2,3,5,17,5
139,0.0,0,0.35799998,0,0.0,1,1,0,0.398,0,0.64285713,0,1,Rémy Vercoutre,1,5456.197266,Rio Linda Union Elementary,2,1,7,10,16,5
140,0.0,0,0.306,0,0.0,2,2,0,0.395,0,0.8,0,1, Casto,2,5105.179688,Chatom Union Elementary,4,1,7,10,15,1
141,0.0,0,0.337,0,0.0,2,1,0,0.407,0,0.7489362,0,1,Robin Knoche,5,5519.677246,Merced River Union Elementary,2,1,4,6,16,6
142,1.0,0,0.199,0,0.0,2,1,0,0.301,0,0.7790698,0,1,Jonathan Obika,5,5065.911133,Hueneme Elementary,3,2,9,13,16,5
143,0.0,0,0.318,0,0.0,2,1,0,0.365,0,0.9,0,1, Pedro León,2,5182.428223,Cuddeback Union Elementary,3,11,7,10,30,5
144,1.0,0,0.257,0,0.0,2,1,0,0.266,0,0.7977528,0,1,Omar Daf,3,5960.464355,Blue Lake Union Elementary,1,1,4,6,23,6
145,0.0,0,0.24200001,0,1.0,2,1,0,0.268,0,0.8947368,0,1,Daniel Sturridge,1,5124.836426,Lemon Grove Elementary,2,1,7,10,13,5
146,0.0,0,0.22600001,0,1.0,2,1,0,0.269,0,0.7987805,0,1,Patrick Rakovsky,4,5655.133301,Upper Lake Union Elementary,4,2,3,5,24,5
147,0.0,1,0.315,0,0.0,2,6,0,0.409,0,0.88785046,0,1,Samuel Bouhours,5,5811.689941,Peninsula Union Elementary,3,1,4,6,24,1
148,0.0,0,0.28,0,1.0,2,6,0,0.308,0,0.5813953,0,1,Kevin Pannewitz,4,5467.673828,Ocean View Elementary,3,1,4,6,25,6
149,1.0,0,0.311,0,0.0,2,5,0,0.311,0,0.6666667,0,1,William Kvist,1,5213.089355,Reeds Creek Elementary,2,1,3,5,18,5
150,0.0,1,0.3,0,1.0,2,1,0,0.36,0,0.8627451,0,1, Raúl Albiol,4,4613.1875,Arcohe Union Elementary,1,3,3,5,28,6
151,0.0,0,0.31,0,1.0,2,2,0,0.39,0,0.81333333,0,1,Dudu Aouate,2,4886.983887,New Jerusalem Elementary,2,6,3,5,25,4
152,0.0,0,0.32,0,1.0,2,1,0,0.32,0,0.7323077,0,1,David Abraham,2,6455.136719,Dunsmuir Elementary,1,7,3,5,40,5
153,0.0,0,0.16,0,1.0,2,1,0,0.18,0,0.3148148,0,1,Jordan Ferri,4,5125.433105,Stanislaus Union Elementary,2,1,4,6,40,6
154,0.0,0,0.27,0,1.0,2,6,0,0.34,0,0.37980768,0,1,Johannes van den Bergh,2,5193.692383,Kingsburg Joint Union Elementary,3,1,4,6,18,4
155,1.0,1,0.32799998,0,0.0,2,1,0,0.32799998,0,0.8689655,0,1,Ivan Klasnić,4,5002.838867,Buena Park Elementary,1,15,7,10,31,6
156,0.0,1,0.2894,0,0.0,2,6,0,0.3838,1,0.9879518,0,0, Felipe Santana,5,5337.625488,Westminster Elementary,2,2,7,10,15,1
157,0.0,1,0.253,0,1.0,2,6,0,0.338,0,0.9,0,1,Karim Haggui,4,5161.202148,Island Union Elementary,3,1,7,10,23,1
158,0.0,0,0.271,0,1.0,2,1,0,0.28100002,0,0.4675,0,1,Gareth Bale,4,5158.791992,Tulare City Elementary,1,1,7,10,34,5
159,0.0,1,0.33380002,0,0.0,2,6,1,0.3923,1,0.90225565,0,0,Matthieu Chalmé,2,5123.474121,Chula Vista Elementary,4,4,4,6,21,5
160,0.0,0,0.20899999,0,1.0,1,1,0,0.363,0,0.47138047,0,1,Brede Hangeland,2,5782.543945,Black Butte Union Elementary,3,1,3,5,29,6
161,0.0,0,0.2308,0,1.0,1,1,0,0.2458,0,0.31111112,0,1, Ricardo Costa,2,4842.60791,McSwain Union Elementary,1,1,3,5,45,5
162,0.0,0,0.3309,0,1.0,2,1,0,0.3821,0,0.7972973,0,1,Tom Cleverley,5,4219.40625,Franklin Elementary,3,1,7,10,90,6
163,0.0,0,0.28,0,1.0,1,1,0,0.32,0,0.65,0,1,Sami Khedira,5,5081.169922,Escondido Union Elementary,4,1,7,10,27,5
164,0.0,1,0.255,0,1.0,2,5,0,0.286,0,0.65,0,1, Cala,3,5144.993652,East Whittier City Elementary,4,2,7,10,35,1
165,0.0,0,0.21,0,0.0,1,2,0,0.266,0,0.5555556,0,1,Fabian Giefer,4,4674.298828,Rio Bravo-Greeley Union Elementary,1,5,3,5,120,1
166,0.0,1,0.287,0,1.0,1,1,0,0.315,0,0.9013158,0,1,Matthew Jarvis,2,4830.326172,Marcum-Illinois Union Elementary,4,11,3,5,39,5
167,0.0,1,0.239,0,0.0,2,1,0,0.3047,0,0.47826087,0,1,Mickaël Landreau,4,5621.687988,Vallecitos Elementary,3,1,7,10,35,5
168,0.0,0,0.292,0,0.0,2,1,0,0.338,0,0.9028571,0,1,Harry Kane,3,4948.868164,Victor Elementary,3,1,4,6,34,3
169,0.0,0,0.273,0,0.0,2,1,0,0.366,0,0.65178573,0,1,Maxime Baca,4,5100.975586,Savanna Elementary,4,6,7,10,27,2
170,0.0,1,0.245,1,1.0,2,1,0,0.371,0,0.59322035,0,1,Nicolas Fauvergue,4,5132.788574,West Side Union Elementary,3,1,7,10,20,6
171,0.0,0,0.319,0,1.0,2,1,0,0.38099998,0,0.31558186,0,1, Bodipo,4,5358.51709,Enterprise Elementary,2,4,7,10,14,4
172,0.0,1,0.31,0,0.0,2,1,0,0.35,0,0.89855075,0,1,Philipp Lahm,4,5149.186523,Red Bluff Union Elementary,4,4,7,10,65,1
